reflection_id,reflection_text,claude_what,claude_why,claude_how,llama_what,llama_why,llama_how,evidence_what,evidence_why,evidence_how
75b,Today's class covered telepharmacy regulations. Telepharmacy is regulated at the state level and varies widely. Common elements include pharmacist licensure in the state where the patient is and technician supervision rules. This is important because telepharmacy is growing. I will follow my state's rules.,2,1,1,2,1,1,Telepharmacy is regulated at the state level and varies widely. Common elements include pharmacist licensure in the state where the patient is and technician supervision rules.,This is important because telepharmacy is growing.,I will follow my state's rules.
75c,Telepharmacy is when pharmacists work remotely. There are rules.,1,0,0,1,0,0,Telepharmacy is when pharmacists work remotely. There are rules.,There are rules.,Telepharmacy is when pharmacists work remotely. There are rules.
76a,"Today's class covered Occupational Safety and Health Administration (OSHA) requirements that apply to pharmacy practice — particularly hazardous drug handling, bloodborne pathogen exposure, and ergonomics. I learned that OSHA's Hazard Communication Standard requires Safety Data Sheets (SDS) for all hazardous chemicals in the workplace, including the cleaning agents and reagents used in compounding. The Bloodborne Pathogens Standard applies to pharmacy staff who administer immunizations and requires specific exposure control plans, post-exposure protocols, and Hepatitis B vaccination availability. The hazardous drug handling requirements intersect with USP <800> but extend further into engineering controls (C-PECs), administrative controls (training, medical surveillance for exposed employees), and PPE specifications. The class also covered ergonomics — pharmacy is one of the higher-risk occupations for repetitive strain injury due to constant standing and counter work.

What this was important for was recognizing that pharmacy regulation extends beyond drug-product rules into workplace safety in ways I had not fully appreciated. The personal piece was a clearer sense that, when I am eventually a pharmacy manager or PIC, OSHA compliance is part of the job rather than an HR concern that someone else handles.

I will apply this by (1) reviewing the OSHA Pharmaceutical Industry page and the bloodborne pathogen standard before my immunization-providing retail rotation; (2) asking my preceptor where the site's SDS binder is and confirming I can locate one for a common cleaning agent; and (3) completing the institution's annual bloodborne pathogen training in full rather than skimming it, so I have the actual procedural knowledge if I experience a needle-stick.",2,2,2,2,2,2,"OSHA's Hazard Communication Standard requires Safety Data Sheets (SDS) for all hazardous chemicals in the workplace, including the cleaning agents and reagents used in compounding. The Bloodborne Pathogens Standard applies to pharmacy staff who administer immunizations and requires specific exposure control plans, post-exposure protocols, and Hepatitis B vaccination availability. The hazardous drug handling requirements intersect with USP <800> but extend further into engineering controls (C-PECs), administrative controls (training, medical surveillance for exposed employees), and PPE specifications.","recognizing that pharmacy regulation extends beyond drug-product rules into workplace safety in ways I had not fully appreciated. The personal piece was a clearer sense that, when I am eventually a pharmacy manager or PIC, OSHA compliance is part of the job rather than an HR concern that someone else handles.","(1) reviewing the OSHA Pharmaceutical Industry page and the bloodborne pathogen standard before my immunization-providing retail rotation; (2) asking my preceptor where the site's SDS binder is and confirming I can locate one for a common cleaning agent; and (3) completing the institution's annual bloodborne pathogen training in full rather than skimming it, so I have the actual procedural knowledge if I experience a needle-stick."
76c,OSHA has rules for pharmacies. These include cleaning chemicals and needles.,1,0,0,1,0,0,OSHA has rules for pharmacies. These include cleaning chemicals and needles.,OSHA has rules for pharmacies.,OSHA has rules for pharmacies. These include cleaning chemicals and needles.
77a,"Today's session covered pharmacy fraud and abuse — specifically the Anti-Kickback Statute (AKS), the Stark Law (physician self-referral), and the False Claims Act — and how each applies to pharmacy practice. I learned that AKS prohibits the exchange of anything of value to induce or reward referrals for federally reimbursable services; that Stark prohibits physicians from referring Medicare or Medicaid patients for designated health services to entities the physician (or immediate family) has a financial relationship with; and that the False Claims Act creates liability for submitting or causing the submission of false or fraudulent claims to federal health programs. We reviewed pharmacy-specific examples: a chain pharmacy offering gift cards for transferring prescriptions could violate AKS; a dispensing physician with a financial interest in a specific pharmacy could create Stark issues; and a pharmacy billing for medications not actually dispensed creates False Claims liability with treble damages.

What this was important for was recognizing that pharmacy regulation is not only about drug products — it includes the financial integrity of the prescription transaction. I had been thinking of fraud-and-abuse compliance as something for billing departments to manage. The class made clear that pharmacist judgment about acceptable promotions, vendor relationships, and billing accuracy is on the regulatory hook personally, not just institutionally. The personal piece was understanding that the line between competitive practice and AKS violation is more specific than I had assumed and worth knowing in detail.

I will apply this by (1) reading the OIG Compliance Program Guidance for Pharmacies in full before my retail management rotation; (2) when I encounter a promotion or marketing offer at a pharmacy site, asking myself whether it could be characterized as inducement and asking my preceptor; and (3) completing the institution's annual fraud-waste-abuse training rather than skimming it.",2,2,2,2,2,2,AKS prohibits the exchange of anything of value to induce or reward referrals for federally reimbursable services; that Stark prohibits physicians from referring Medicare or Medicaid patients for designated health services to entities the physician (or immediate family) has a financial relationship with; and that the False Claims Act creates liability for submitting or causing the submission of false or fraudulent claims to federal health programs.,"I had been thinking of fraud-and-abuse compliance as something for billing departments to manage. The class made clear that pharmacist judgment about acceptable promotions, vendor relationships, and billing accuracy is on the regulatory hook personally, not just institutionally. The personal piece was understanding that the line between competitive practice and AKS violation is more specific than I had assumed and worth knowing in detail.","(1) reading the OIG Compliance Program Guidance for Pharmacies in full before my retail management rotation; (2) when I encounter a promotion or marketing offer at a pharmacy site, asking myself whether it could be characterized as inducement and asking my preceptor; and (3) completing the institution's annual fraud-waste-abuse training rather than skimming it."
77b,"Today's class covered the Anti-Kickback Statute, Stark Law, and False Claims Act. These laws govern fraud and abuse in healthcare. AKS prohibits inducements for referrals, Stark applies to physician self-referral, and False Claims covers fraudulent billing. Pharmacists need to be aware of these. I will follow my organization's compliance training.",2,1,1,2,1,1,"Today's class covered the Anti-Kickback Statute, Stark Law, and False Claims Act. These laws govern fraud and abuse in healthcare. AKS prohibits inducements for referrals, Stark applies to physician self-referral, and False Claims covers fraudulent billing.",Pharmacists need to be aware of these.,I will follow my organization's compliance training.
78a,"Today's session covered drug recalls — the FDA's process for removing products from the market when safety or quality issues are identified. I learned that recalls are classified by severity: Class I (reasonable probability of serious adverse health consequences or death), Class II (temporary or medically reversible adverse health consequences, or remote probability of serious harm), and Class III (unlikely to cause adverse health consequences but in violation of FDA regulations). The pharmacy's responsibility on receipt of a recall notice includes immediate quarantine of affected lots, identification of patients who received the drug from current dispensing records, prescriber notification, and patient communication for Class I recalls. We discussed several recent Class I recalls — including the valsartan/losartan nitrosamine recalls and ranitidine — and the operational complexity they imposed on pharmacies (months of patient identification and counseling work).

What this was important for was understanding recalls as a regulatory obligation that the pharmacist personally executes, not as an information item the wholesaler handles. The personal piece was recognizing that recall response is a high-stakes communication exercise — a Class I recall reaches patients who are taking the medication for a real condition, and the pharmacist's clarity about what to do with their current supply, what to ask the prescriber, and how to handle the timing of switching agents has real clinical impact.

I will apply this by (1) reviewing the FDA's recall classification page and the institution's recall response SOP before my retail rotation; (2) asking my preceptor whether I can sit in on one recall communication to a patient if one occurs during the rotation; and (3) building a personal mental script for Class I recall counseling — explaining the issue clearly without alarming language, the next steps, and the prescriber's role — so the script exists before I need it.",2,2,2,2,2,2,"recalls are classified by severity: Class I (reasonable probability of serious adverse health consequences or death), Class II (temporary or medically reversible adverse health consequences, or remote probability of serious harm), and Class III (unlikely to cause adverse health consequences but in violation of FDA regulations). The pharmacy's responsibility on receipt of a recall notice includes immediate quarantine of affected lots, identification of patients who received the drug from current dispensing records, prescriber notification, and patient communication for Class I recalls.","The personal piece was recognizing that recall response is a high-stakes communication exercise — a Class I recall reaches patients who are taking the medication for a real condition, and the pharmacist's clarity about what to do with their current supply, what to ask the prescriber, and how to handle the timing of switching agents has real clinical impact.","(1) reviewing the FDA's recall classification page and the institution's recall SOP before my retail rotation; (2) asking my preceptor whether I can sit in on one recall communication to a patient if one occurs during the rotation; and (3) building a personal mental script for Class I recall counseling — explaining the issue clearly without alarming language, the next steps, and the prescriber's role — so the script exists before I need it."
78b,"Today we covered drug recalls. The FDA classifies recalls as Class I, II, or III based on severity. Class I are the most serious. Pharmacies have to quarantine affected lots, identify patients who got the drug, and notify them. Recent examples include valsartan and ranitidine. I will pay attention to recall workflows.",2,0,1,2,0,1,"The FDA classifies recalls as Class I, II, or III based on severity. Class I are the most serious. Pharmacies have to quarantine affected lots, identify patients who got the drug, and notify them. Recent examples include valsartan and ranitidine.",Today we covered drug recalls.,I will pay attention to recall workflows.
79a,"Today's class focused on controlled substance disposal and DEA Form 41 (Registrants Inventory of Drugs Surrendered). I learned that the DEA regulates the destruction of controlled substances by registrants and that improper disposal — flushing, incinerating without authorization, returning to the wholesaler without the right paperwork — creates serious compliance risk. Form 41 documents the surrender of controlled substances to a DEA-authorized destruction agent, and must be witnessed and signed by two authorized agents. We also covered the Drug Enforcement Administration's Take-Back Program and the framework for community pharmacy drug-collection receptacles, which became substantially more permissive after the 2014 final rule. The class also addressed DEA Form 222 (now the equivalent CSOS electronic ordering system) and the DEA Form 106 for reporting theft or significant loss.

What this was important for was understanding that controlled substance documentation is a continuous obligation rather than an event-driven one. Every disposal, every loss, every theft requires specific paperwork executed within specific time windows. The personal piece was a clearer sense of the daily operational reality of controlled-substance compliance and how much of it is the PIC's personal responsibility.

I will apply this by (1) reviewing DEA Form 41, Form 222, and Form 106 before my retail rotation so the documents are not new to me when I encounter them; (2) asking my preceptor to walk me through the site's controlled-substance disposal log and one prior disposal event; and (3) when I am eventually in a PIC-track role, treating controlled-substance documentation as a daily discipline rather than a quarterly review item — the gaps that get found in DEA inspections almost always trace back to missed documentation that was small in any single instance.",2,2,2,2,2,2,"I learned that the DEA regulates the destruction of controlled substances by registrants and that improper disposal — flushing, incinerating without authorization, returning to the wholesaler without the right paperwork — creates serious compliance risk. Form 41 documents the surrender of controlled substances to a DEA-authorized destruction agent, and must be witnessed and signed by two authorized agents. We also covered the Drug Enforcement Administration's Take-Back Program and the framework for community pharmacy drug-collection receptacles, which became substantially more permissive after the 2014 final rule. The class also addressed DEA Form 222 (now the equivalent CSOS electronic ordering system) and the DEA Form 106 for reporting theft or significant loss.","understanding that controlled substance documentation is a continuous obligation rather than an event-driven one. Every disposal, every loss, every theft requires specific paperwork executed within specific time windows. The personal piece was a clearer sense of the daily operational reality of controlled-substance compliance and how much of it is the PIC's personal responsibility.","I will apply this by (1) reviewing DEA Form 41, Form 222, and Form 106 before my retail rotation so the documents are not new to me when I encounter them; (2) asking my preceptor to walk me through the site's controlled-substance disposal log and one prior disposal event; and (3) when I am eventually in a PIC-track role, treating controlled-substance documentation as a daily discipline rather than a quarterly review item — the gaps that get found in DEA inspections almost always trace back to missed documentation that was small in any single instance."
79b,Today we covered controlled substance disposal and DEA Form 41. Pharmacies have to surrender controlled substances to DEA-authorized destruction agents and document everything. Form 222/CSOS is for ordering and Form 106 is for theft/loss. The 2014 rule expanded community drug take-back. I will be aware of these forms in my retail work.,2,0,1,2,0,1,controlled substance disposal and DEA Form 41. Pharmacies have to surrender controlled substances to DEA-authorized destruction agents and document everything. Form 222/CSOS is for ordering and Form 106 is for theft/loss. The 2014 rule expanded community drug take-back.,Pharmacies have to surrender controlled substances to DEA-authorized destruction agents and document everything.,I will be aware of these forms in my retail work.
79c,There are forms for getting rid of controlled substances. Form 41 is one.,1,0,0,1,0,0,There are forms for getting rid of controlled substances. Form 41 is one.,There are forms for getting rid of controlled substances. Form 41 is one.,There are forms for getting rid of controlled substances. Form 41 is one.
80a,"Today's session covered state Prescription Drug Monitoring Programs (PDMPs) — electronic databases that track controlled substance prescriptions across prescribers and pharmacies within a state. I learned that PDMPs exist in essentially all 50 states (Missouri being the last holdout) and that most states now have some form of mandated review before dispensing controlled substances. The variation across states is substantial: some require review only for first-fill of opioids, some require review at every fill, some require review for any Schedule II-V, and some integrate the PDMP directly into the pharmacy software so the review is one click. We also covered the interstate data sharing through PMP InterConnect, which addresses the cross-state shopping pattern, and the ongoing tension between PDMP use as a clinical decision tool versus a law-enforcement surveillance tool.

What this was important for was understanding that the PDMP is the most consequential clinical-data resource a pharmacist has at the point of controlled-substance dispensing — and that using it well is a clinical skill, not a compliance check-the-box. A PDMP review that surfaces a red flag (multiple prescribers, multiple pharmacies, recent benzodiazepine and opioid co-prescribing) is the entry point for a clinical conversation with the patient and prescriber, not an automatic refusal. The personal piece was sharpening my sense that pharmacist judgment in PDMP interpretation is exactly the kind of professional discretion that distinguishes clinical pharmacy from dispensing.

I will apply this by (1) registering for my state PDMP as soon as I am licensed and reviewing the user guide; (2) on my retail rotation, reviewing the PDMP for at least one controlled-substance prescription per shift with my preceptor and discussing the clinical interpretation; and (3) building a personal mental framework for PDMP red flags that I can use to structure pharmacist-prescriber conversations rather than refusing to fill without explanation.",2,2,2,2,2,2,"PDMPs exist in essentially all 50 states (Missouri being the last holdout) and that most states now have some form of mandated review before dispensing controlled substances. The variation across states is substantial: some require review only for first-fill of opioids, some require review at every fill, some require review for any Schedule II-V, and some integrate the PDMP directly into the pharmacy software so the review is one click. We also covered the interstate data sharing through PMP InterConnect, which addresses the cross-state shopping pattern, and the ongoing tension between PDMP use as a clinical decision tool versus a law-enforcement surveillance tool.","the PDMP is the most consequential clinical-data resource a pharmacist has at the point of controlled-substance dispensing — and that using it well is a clinical skill, not a compliance check-the-box. A PDMP review that surfaces a red flag (multiple prescribers, multiple pharmacies, recent benzodiazepine and opioid co-prescribing) is the entry point for a clinical conversation with the patient and prescriber, not an automatic refusal. The personal piece was sharpening my sense that pharmacist judgment in PDMP interpretation is exactly the kind of professional discretion that distinguishes clinical pharmacy from dispensing.","(1) registering for my state PDMP as soon as I am licensed and reviewing the user guide; (2) on my retail rotation, reviewing the PDMP for at least one controlled-substance prescription per shift with my preceptor and discussing the clinical interpretation; and (3) building a personal mental framework for PDMP red flags that I can use to structure pharmacist-prescriber conversations rather than refusing to fill without explanation."
80c,PDMPs track controlled substance prescriptions. I will follow the rules.,1,0,0,1,0,0,PDMPs track controlled substance prescriptions.,I will follow the rules.,I will follow the rules.
81a,"In today's session, we explored the concept of Just Culture, which is an approach to safety that distinguishes between human error, at-risk behavior, and reckless behavior, and responds to each differently rather than treating all mistakes as equally blameworthy. We learned that in a punitive culture, staff tend to hide errors and near misses out of fear, which prevents the system from ever learning and improving. Just Culture shifts the focus from blaming individuals to understanding why failures happen and designing systems that make errors harder to commit. We reviewed case studies in which pharmacists were hesitant to report a dispensing near miss because they feared formal discipline, and discussed how that silence ultimately led to the same error reaching a patient weeks later. Understanding Just Culture is central to my growth as a future pharmacist because it challenges my assumption that professionalism means never making mistakes. In reality, professionalism includes acknowledging errors transparently so the system can be strengthened. It also means resisting the impulse to shame colleagues who come forward with concerns. If I create a culture of blame in my future practice, even unintentionally, I will suppress exactly the information needed to make the environment safer. I will apply this learning by establishing a clear norm at my future practice site that near-miss reports are treated as learning events, not disciplinary ones. Specifically, I will follow up on any reported near miss by asking what system-level factor contributed and what we can change, rather than focusing on the individual who made the error.",2,2,2,2,2,2,"Just Culture, which is an approach to safety that distinguishes between human error, at-risk behavior, and reckless behavior, and responds to each differently rather than treating all mistakes as equally blameworthy. We learned that in a punitive culture, staff tend to hide errors and near misses out of fear, which prevents the system from ever learning and improving.","Understanding Just Culture is central to my growth as a future pharmacist because it challenges my assumption that professionalism means never making mistakes. In reality, professionalism includes acknowledging errors transparently so the system can be strengthened. It also means resisting the impulse to shame colleagues who come forward with concerns. If I create a culture of blame in my future practice, even unintentionally, I will suppress exactly the information needed to make the environment safer.","I will apply this learning by establishing a clear norm at my future practice site that near-miss reports are treated as learning events, not disciplinary ones. Specifically, I will follow up on any reported near miss by asking what system-level factor contributed and what we can change, rather than focusing on the individual who made the error."
81b,"Today we learned about Just Culture, which is an approach in healthcare that differentiates between honest mistakes and reckless behavior and responds to each differently. This is important because when workers are afraid of being blamed for every error, they stop reporting near misses, which means the same mistakes keep happening. Just Culture matters because it can prevent serious patient harm by creating transparency around errors. To apply this, I will try to respond to reported mistakes at my internship with curiosity rather than criticism, and I will encourage my technician team to share near misses by treating those reports as learning opportunities rather than failures.",2,2,2,2,2,2,"Just Culture, which is an approach in healthcare that differentiates between honest mistakes and reckless behavior and responds to each differently","when workers are afraid of being blamed for every error, they stop reporting near misses, which means the same mistakes keep happening. Just Culture matters because it can prevent serious patient harm by creating transparency around errors","I will try to respond to reported mistakes at my internship with curiosity rather than criticism, and I will encourage my technician team to share near misses by treating those reports as learning opportunities rather than failures"
82a,"This session focused on the role of safety huddles and structured team communication tools, specifically SBAR (Situation, Background, Assessment, Recommendation), in building a proactive safety culture. We learned that safety huddles are brief, daily team check-ins designed to surface potential risks before they result in harm, such as identifying high-risk patients, flagging staffing gaps, or reviewing recent near misses. SBAR was introduced as a standardized communication format that reduces ambiguity when transferring patient information between providers or escalating a concern, which is particularly important in pharmacy when a clinical pharmacist needs to communicate a drug interaction concern to a prescriber. We reviewed evidence showing that hospitals and outpatient settings that implemented daily safety huddles experienced measurable reductions in medication errors and improved staff engagement with safety practices. This learning matters deeply to my development because it reframes safety from a passive, reactive process into something that a team actively cultivates every day. I had previously thought of errors as individual failures to be addressed after they occur, but huddles and structured communication tools show that safety is something you build before anything goes wrong. I also realized that as a pharmacist, I will frequently be the person responsible for escalating medication concerns, and having a reliable communication structure like SBAR makes it far more likely that my concern will be taken seriously and acted upon. I will apply this by requesting to participate in safety huddles at my internship site when possible, and I will practice using SBAR format when raising drug therapy concerns with prescribers or nursing staff. I will also debrief with my preceptor after any escalation to evaluate whether my communication was clear and actionable.",2,2,2,2,2,2,"safety huddles are brief, daily team check-ins designed to surface potential risks before they result in harm, such as identifying high-risk patients, flagging staffing gaps, or reviewing recent near misses. SBAR was introduced as a standardized communication format that reduces ambiguity when transferring patient information between providers or escalating a concern, which is particularly important in pharmacy when a clinical pharmacist needs to communicate a drug interaction concern to a prescriber.","I had previously thought of errors as individual failures to be addressed after they occur, but huddles and structured communication tools show that safety is something you build before anything goes wrong. I also realized that as a pharmacist, I will frequently be the person responsible for escalating medication concerns, and having a reliable communication structure like SBAR makes it far more likely that my concern will be taken seriously and acted upon.","I will apply this by requesting to participate in safety huddles at my internship site when possible, and I will practice using SBAR format when raising drug therapy concerns with prescribers or nursing staff. I will also debrief with my preceptor after any escalation to evaluate whether my communication was clear and actionable."
82c,"We learned about safety huddles and SBAR communication today. Safety huddles are daily team meetings that help catch safety issues early, and SBAR is a way to organize information when communicating with other clinicians. It is important to communicate well in healthcare to avoid errors. I will try to communicate more clearly during my rotations.",2,1,1,2,1,1,"Safety huddles are daily team meetings that help catch safety issues early, and SBAR is a way to organize information when communicating with other clinicians.",It is important to communicate well in healthcare to avoid errors.,I will try to communicate more clearly during my rotations.
83a,"Today's session examined the critical role that pharmacy leaders and preceptors play in shaping safety culture, drawing on research showing that staff behaviors around error reporting, speaking up, and following safety protocols are strongly predicted by what leaders visibly model and reward. We specifically discussed how a leader's response to the first reported near miss or mistake sets the tone for the entire team: if a manager responds with blame or dismissiveness, staff learn quickly that reporting is not safe. Conversely, leaders who respond to reports with curiosity, gratitude, and follow-through on system improvements signal that safety is a genuine organizational priority rather than a compliance checkbox. We also discussed the concept of leadership rounding, where supervisors intentionally visit frontline staff to ask about safety concerns, which has been shown to increase near-miss reporting rates. This learning is significant for my professional development because I will eventually be in a leadership role, whether as a supervising pharmacist or a preceptor, and I need to understand that my responses to errors will shape my team's willingness to be transparent. I had assumed that a leader's job was primarily to prevent mistakes, but this session helped me see that a leader's most important safety function is creating the conditions for mistakes to be surfaced and learned from. If I fail at that, I will inherit a team that quietly covers problems rather than solving them. I will apply this by being intentional about how I respond to technician errors during my internship, even in small moments. If a technician flags an error or near miss, I will thank them explicitly, ask what system factors contributed, and follow up on whether anything changed. I will also ask my preceptor to give me feedback on my communication style when things go wrong.",2,2,2,2,2,2,"a leader's response to the first reported near miss or mistake sets the tone for the entire team: if a manager responds with blame or dismissiveness, staff learn quickly that reporting is not safe. Conversely, leaders who respond to reports with curiosity, gratitude, and follow-through on system improvements signal that safety is a genuine organizational priority rather than a compliance checkbox. We also discussed the concept of leadership rounding, where supervisors intentionally visit frontline staff to ask about safety concerns, which has been shown to increase near-miss reporting rates.","I had assumed that a leader's job was primarily to prevent mistakes, but this session helped me see that a leader's most important safety function is creating the conditions for mistakes to be surfaced and learned from. If I fail at that, I will inherit a team that quietly covers problems rather than solving them.","If a technician flags an error or near miss, I will thank them explicitly, ask what system factors contributed, and follow up on whether anything changed. I will also ask my preceptor to give me feedback on my communication style when things go wrong."
83b,"Today we learned about how leaders influence safety culture, specifically that the way supervisors and preceptors respond to mistakes and near misses determines whether staff feel safe reporting them. When leaders respond with blame, staff hide problems. When leaders model transparency and respond constructively, reporting rates improve and the system gets safer. This matters to me because I will be in a supervisory role as a pharmacist, and I want to build a team that feels safe speaking up. To apply this, I plan to explicitly thank anyone who flags a concern or reports a near miss during my internship and ask what process contributed to the problem, rather than focusing only on the individual who made the error. I think this kind of response can set a different tone than what many staff have experienced.",2,2,2,2,2,2,"the way supervisors and preceptors respond to mistakes and near misses determines whether staff feel safe reporting them. When leaders respond with blame, staff hide problems. When leaders model transparency and respond constructively, reporting rates improve and the system gets safer.","This matters to me because I will be in a supervisory role as a pharmacist, and I want to build a team that feels safe speaking up.","I plan to explicitly thank anyone who flags a concern or reports a near miss during my internship and ask what process contributed to the problem, rather than focusing only on the individual who made the error."
84a,"In this session, we focused on error transparency and the role of formal error reporting systems, such as incident reports and near-miss logs, in building an organizational learning culture. We learned that most healthcare organizations have reporting mechanisms in place, but that underreporting is pervasive, with estimates suggesting that only 10 to 20 percent of medication errors are formally documented. We examined why underreporting happens: fear of punishment, belief that nothing will change, time constraints, and uncertainty about what counts as a reportable event. We then reviewed how high-reliability organizations, such as aviation and nuclear power, have overcome underreporting by creating non-punitive systems where every near miss is treated as actionable data. In pharmacy, near-miss events like a wrong-drug alert that was caught before dispensing or a dose discrepancy identified during verification are particularly valuable because they reveal exactly where the system is vulnerable before a patient is harmed. The distinction between error transparency as a personal virtue versus error transparency as a system design challenge was especially clarifying. It helped me understand that if reporting is low in an organization, the solution is not to lecture staff about honesty; it is to redesign the reporting process to be low-friction and to demonstrate that reports lead to change. For my development as a future pharmacist, this reframes my responsibility around errors: it is not just about being careful, but about contributing to a system that gets better over time. If I hide a near miss because I am embarrassed, I deprive the organization of data it needs to protect future patients. I will apply this learning by committing to document every near miss I observe or am involved in during my rotations, even when it feels uncomfortable, and by reviewing what happened afterward with my preceptor to identify what system change could reduce recurrence. I also want to advocate for making incident reports easier to submit, such as through electronic systems, if I observe that the current process is creating a barrier to reporting.",2,2,2,2,2,2,"we focused on error transparency and the role of formal error reporting systems, such as incident reports and near-miss logs, in building an organizational learning culture. We learned that most healthcare organizations have reporting mechanisms in place, but that underreporting is pervasive, with estimates suggesting that only 10 to 20 percent of medication errors are formally documented. We examined why underreporting happens: fear of punishment, belief that nothing will change, time constraints, and uncertainty about what counts as a reportable event.","The distinction between error transparency as a personal virtue versus error transparency as a system design challenge was especially clarifying. It helped me understand that if reporting is low in an organization, the solution is not to lecture staff about honesty; it is to redesign the reporting process to be low-friction and to demonstrate that reports lead to change. If I hide a near miss because I am embarrassed, I deprive the organization of data it needs to protect future patients.","I will apply this learning by committing to document every near miss I observe or am involved in during my rotations, even when it feels uncomfortable, and by reviewing what happened afterward with my preceptor to identify what system change could reduce recurrence. I also want to advocate for making incident reports easier to submit, such as through electronic systems, if I observe that the current process is creating a barrier to reporting."
84b,"Today's class covered error transparency and why medication errors and near misses are so frequently underreported in healthcare settings. We learned that estimates suggest only a small fraction of actual errors are formally documented, due to fear of blame, uncertainty about what qualifies as reportable, and skepticism that reporting leads to change. This matters because without accurate reporting, organizations cannot identify patterns or make the systemic changes needed to prevent future harm. High-reliability industries like aviation use non-punitive reporting systems that treat near misses as learning opportunities, and pharmacy can adopt similar approaches. I plan to apply this by reporting every near miss I observe during my internship rather than only those that resulted in harm, and I will ask my preceptor to debrief with me on each one to identify what process factor contributed.",2,2,2,2,2,2,"We learned that estimates suggest only a small fraction of actual errors are formally documented, due to fear of blame, uncertainty about what qualifies as reportable, and skepticism that reporting leads to change.","This matters because without accurate reporting, organizations cannot identify patterns or make the systemic changes needed to prevent future harm. High-reliability industries like aviation use non-punitive reporting systems that treat near misses as learning opportunities, and pharmacy can adopt similar approaches.","I plan to apply this by reporting every near miss I observe during my internship rather than only those that resulted in harm, and I will ask my preceptor to debrief with me on each one to identify what process factor contributed."
84c,"We learned about error reporting in healthcare and why many mistakes go undocumented. Staff often do not report near misses because they are afraid of punishment or do not think anything will change. This is a problem because errors that are not reported cannot be learned from. I know that I should report errors during my rotations, but I am not sure yet what the specific process will look like at my site.",2,2,1,2,2,1,We learned about error reporting in healthcare and why many mistakes go undocumented. Staff often do not report near misses because they are afraid of punishment or do not think anything will change.,This is a problem because errors that are not reported cannot be learned from.,"I know that I should report errors during my rotations, but I am not sure yet what the specific process will look like at my site."
85a,"Today's session focused on the AHRQ Hospital Survey on Patient Safety Culture (HSOPSC) as the standardized instrument many U.S. healthcare organizations use to measure their safety culture. I learned that the HSOPSC measures 12 dimensions across staff perceptions — including supervisor expectations, feedback and communication about errors, nonpunitive response to errors, teamwork within and across units, and overall perceptions of patient safety — and produces benchmark data that allows institutions to compare themselves to national norms over time. We discussed common misuses of the survey: comparing raw scores between dissimilar units, using the survey as a one-time snapshot rather than a trended measure, and acting on dimension-level scores without qualitative follow-up to understand what is driving them.

This was important because before today I had treated ""safety culture"" as a diffuse, almost unmeasurable concept. The HSOPSC reframes it as a measurable construct with operational definitions, which is what makes it possible to have evidence-based conversations about whether a culture is improving. It also clarified for me that culture data is only useful when it is paired with action — institutions that survey annually but never feed results back to frontline staff actually erode trust over time.

I will apply this by (1) asking my hospital preceptor whether the institution administers the HSOPSC and, if so, requesting access to the most recent department-level results for the pharmacy; (2) attending one safety culture debrief or town hall during my rotation if available, to see how leaders communicate the results to staff; and (3) committing, when I am eventually a manager or PIC, to share both the strong and weak dimensions of our HSOPSC results with my staff transparently — concealing the weak dimensions is what produces the next year's lower response rate.",2,2,2,2,2,2,"the HSOPSC measures 12 dimensions across staff perceptions — including supervisor expectations, feedback and communication about errors, nonpunitive response to errors, teamwork within and across units, and overall perceptions of patient safety — and produces benchmark data that allows institutions to compare themselves to national norms over time. We discussed common misuses of the survey: comparing raw scores between dissimilar units, using the survey as a one-time snapshot rather than a trended measure, and acting on dimension-level scores without qualitative follow-up to understand what is driving them.","before today I had treated 'safety culture' as a diffuse, almost unmeasurable concept. The HSOPSC reframes it as a measurable construct with operational definitions, which is what makes it possible to have evidence-based conversations about whether a culture is improving. It also clarified for me that culture data is only useful when it is paired with action — institutions that survey annually but never feed results back to frontline staff actually erode trust over time.","(1) asking my hospital preceptor whether the institution administers the HSOPSC and, if so, requesting access to the most recent department-level results for the pharmacy; (2) attending one safety culture debrief or town hall during my rotation if available, to see how leaders communicate the results to staff; and (3) committing, when I am eventually a manager or PIC, to share both the strong and weak dimensions of our HSOPSC results with my staff transparently — concealing the weak dimensions is what produces the next year's lower response rate."
85b,"Today we learned about the AHRQ Hospital Survey on Patient Safety Culture, which measures different dimensions of safety culture in healthcare organizations. The survey produces benchmark data that institutions can use to see how they compare and how they are trending. This is important because it lets organizations measure something that otherwise feels abstract. I will look at safety culture data at my rotations.",2,1,1,2,1,1,"the AHRQ Hospital Survey on Patient Safety Culture, which measures different dimensions of safety culture in healthcare organizations. The survey produces benchmark data that institutions can use to see how they compare and how they are trending.",This is important because it lets organizations measure something that otherwise feels abstract.,I will look at safety culture data at my rotations.
85c,There is a survey for safety culture. It measures how people feel about safety. It is used in hospitals.,1,0,0,1,0,0,There is a survey for safety culture. It measures how people feel about safety. It is used in hospitals.,It measures how people feel about safety. It is used in hospitals.,There is a survey for safety culture. It measures how people feel about safety. It is used in hospitals.
